Date,return,
11/25/1929,-0.011679646,
11/26/1929,-0.029568248,
11/27/1929,0.012506176,
12/2/1929,0.001433055,
12/3/1929,0.03286676,
12/4/1929,0.018307102,
12/5/1929,-0.008196676,
12/6/1929,0.026174778,
12/9/1929,-0.0022297,
12/10/1929,0.007560632,
12/11/1929,-0.008453933,
12/12/1929,-0.055582573,
12/13/1929,0.024727221,
12/16/1929,-0.017197774,
12/17/1929,0.010725167,
12/18/1929,-0.006514635,
12/19/1929,-0.026971117,
12/20/1929,-0.033653505,
12/23/1929,0.004948056,
12/24/1929,0.006396037,
12/26/1929,0.021829681,
12/27/1929,-0.000960154,
12/30/1929,0.003356465,
12/31/1929,0.026454164,
1/2/1930,-0.012667352,
1/3/1930,0.002357936,
1/6/1930,0.012637659,
1/7/1930,-0.008876536,
1/8/1930,-0.000938873,
1/9/1930,0.015381333,
1/10/1930,-0.003243088,
1/13/1930,-0.001393035,
1/14/1930,0.001856964,
1/15/1930,0.004165755,
1/16/1930,-0.006952519,
1/17/1930,-0.008876536,
1/20/1930,0.008876536,
1/21/1930,0.005103282,
1/22/1930,0.000924977,
1/23/1930,0.009661957,
1/24/1930,0.009115879,
1/27/1930,0.007683563,
1/28/1930,-0.004964984,
1/29/1930,0.011248713,
1/30/1930,0.005354721,
1/31/1930,0.014140845,
2/3/1930,-0.002196399,
2/4/1930,0.011803416,
2/5/1930,0.012953506,
2/6/1930,-0.010782939,
2/7/1930,-0.003910498,
2/10/1930,0.006509114,
2/11/1930,0.008613274,
2/13/1930,0.001713839,
2/14/1930,-0.000428217,
2/17/1930,-0.003861837,
2/18/1930,0.000859519,
2/19/1930,-0.009061594,
2/20/1930,-0.018814863,
2/21/1930,0.012291683,
2/24/1930,-0.010526413,
2/25/1930,0.009216611,
2/26/1930,0.009565377,
2/27/1930,-0.001299026,
2/28/1930,0.008628224,
3/3/1930,0.003430535,
3/4/1930,0.007675944,
3/5/1930,-0.007675944,
3/6/1930,0.009797693,
3/7/1930,0,
3/10/1930,0.00338553,
3/11/1930,0.002110108,
3/12/1930,-0.011021731,
3/13/1930,0.005949911,
3/14/1930,-0.006376174,
3/17/1930,0.009337886,
3/18/1930,0.009670035,
3/19/1930,0.005424632,
3/20/1930,0.004567083,
3/21/1930,0.00619461,
3/24/1930,-0.000411777,
3/25/1930,-0.00123639,
3/26/1930,0.015142544,
3/27/1930,-0.002032975,
3/28/1930,0.011331566,
3/31/1930,-0.028573372,
4/1/1930,0.049283033,
4/2/1930,-0.0103012,
4/3/1930,0.001989219,
4/4/1930,0.014990458,
4/7/1930,0.002346462,
4/8/1930,-0.005483798,
4/9/1930,0.015975481,
4/10/1930,0.001930837,
